ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-08-02,36314.6208089893,31414.986841277558,44946.66961464127,36314.6208089893,36314.6208089893,1837.385108323343,1837.385108323343,1837.385108323343,1290.1553308744735,1290.1553308744735,1290.1553308744735,547.2297774488693,547.2297774488693,547.2297774488693,0.0,0.0,0.0,38152.00591731264
2018-08-03,36321.88169145756,28698.752238640278,42461.91623675824,36321.88169145756,36321.88169145756,-829.0323992810171,-829.0323992810171,-829.0323992810171,-1054.0379767487302,-1054.0379767487302,-1054.0379767487302,225.00557746771298,225.00557746771298,225.00557746771298,0.0,0.0,0.0,35492.84929217654
2018-08-04,36329.142573925805,22892.938002703457,36763.58602993781,36329.142573925805,36329.142573925805,-6150.88158709014,-6150.88158709014,-6150.88158709014,-6020.498657662794,-6020.498657662794,-6020.498657662794,-130.38292942734537,-130.38292942734537,-130.38292942734537,0.0,0.0,0.0,30178.260986835667
2018-08-05,36336.40345639406,24726.881332031116,38406.45687546776,36336.40345639406,36336.40345639406,-4858.408049737738,-4858.408049737738,-4858.408049737738,-4348.821488796802,-4348.821488796802,-4348.821488796802,-509.5865609409358,-509.5865609409358,-509.5865609409358,0.0,0.0,0.0,31477.995406656322
2018-08-06,36343.664338862305,32786.98279316855,46321.851611048995,36343.526911096866,36343.73458667937,3337.4215914756664,3337.4215914756664,3337.4215914756664,4240.301552354005,4240.301552354005,4240.301552354005,-902.8799608783384,-902.8799608783384,-902.8799608783384,0.0,0.0,0.0,39681.08593033797
2018-08-07,36350.92522133056,31304.35754771698,45516.22604933406,36350.229481302595,36352.331303983774,2237.2710343964027,2237.2710343964027,2237.2710343964027,3537.655640098812,3537.655640098812,3537.655640098812,-1300.3846057024093,-1300.3846057024093,-1300.3846057024093,0.0,0.0,0.0,38588.19625572696
2018-08-08,36358.18610379881,29858.69838747756,43665.77400792864,36356.07924108822,36361.69253856013,662.9528927804713,662.9528927804713,662.9528927804713,2355.2455998894193,2355.2455998894193,2355.2455998894193,-1692.2927071089482,-1692.2927071089482,-1692.2927071089482,0.0,0.0,0.0,37021.138996579284
2018-08-09,36365.44698626706,28539.745349786495,42414.70385065486,36361.74332738392,36370.94257595202,-778.9316135519148,-778.9316135519148,-778.9316135519148,1290.1553308754806,1290.1553308754806,1290.1553308754806,-2069.0869444273953,-2069.0869444273953,-2069.0869444273953,0.0,0.0,0.0,35586.51537271515
2018-08-10,36372.707868735306,25565.150283676365,39291.82770822454,36366.67582680432,36381.338328810205,-3475.7890961707963,-3475.7890961707963,-3475.7890961707963,-1054.037976748362,-1054.037976748362,-1054.037976748362,-2421.751119422435,-2421.751119422435,-2421.751119422435,0.0,0.0,0.0,32896.91877256451
2018-08-11,36379.96875120357,20374.014185307293,34629.76731096053,36371.06786488799,36391.75701921181,-8762.465751519803,-8762.465751519803,-8762.465751519803,-6020.498657663627,-6020.498657663627,-6020.498657663627,-2741.9670938561794,-2741.9670938561794,-2741.9670938561794,0.0,0.0,0.0,27617.502999683762
